name,score
discount_0.98,19.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,21.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,34.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,63.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,2.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,78.0
discount_0.98,49.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,100.0
discount_0.98,18.0
discount_0.98,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,13.0
discount_1,96.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,15.0
discount_1,52.0
discount_1,100.0
discount_1,100.0
discount_1,1.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,71.0
discount_1,100.0
discount_1,56.0
discount_1,21.0
discount_1,66.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,41.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,44.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,34.0
discount_1,100.0
discount_1,100.0
discount_1,50.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,6.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
discount_1,100.0
initial_values_5_-5,13.0
initial_values_5_-5,1.0
initial_values_5_-5,2.0
initial_values_5_-5,4.0
initial_values_5_-5,23.0
initial_values_5_-5,9.0
initial_values_5_-5,25.0
initial_values_5_-5,4.0
initial_values_5_-5,3.0
initial_values_5_-5,7.0
initial_values_5_-5,33.0
initial_values_5_-5,4.0
initial_values_5_-5,5.0
initial_values_5_-5,9.0
initial_values_5_-5,10.0
initial_values_5_-5,29.0
initial_values_5_-5,7.0
initial_values_5_-5,4.0
initial_values_5_-5,4.0
